[Year],[State],[S&E Fields],[SEH Fields],[Public or Private],[Sex],[Citizenship],[Graduate Students]
2018,New York,Science and engineering,Engineering,Private,Female,Foreign nationals,"1,749"
2018,Nebraska,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),953
2018,Nebraska,Science and engineering,Science,Public,Male,Foreign nationals,390
2018,Nebraska,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),"1,137"
2018,Nebraska,Science and engineering,Science,Public,Female,Foreign nationals,321
2018,Nebraska,Science and engineering,Science,Private,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),28
2018,Nebraska,Science and engineering,Science,Private,Male,Foreign nationals,4
2018,Nebraska,Science and engineering,Science,Private,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),30
2018,Nebraska,Science and engineering,Science,Private,Female,Foreign nationals,6
2018,Nebraska,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),203
2018,Nebraska,Science and engineering,Engineering,Public,Male,Foreign nationals,206
2018,Nebraska,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),50
2018,Nebraska,Science and engineering,Engineering,Public,Female,Foreign nationals,70
2018,Montana,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),500
2018,Montana,Science and engineering,Science,Public,Male,Foreign nationals,77
2018,Montana,Science and engineering,Science,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),448
2018,Montana,Science and engineering,Science,Public,Female,Foreign nationals,44
2018,Montana,Science and engineering,Engineering,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),134
2018,Montana,Science and engineering,Engineering,Public,Male,Foreign nationals,28
2018,Montana,Science and engineering,Engineering,Public,Female,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),36
2018,Montana,Science and engineering,Engineering,Public,Female,Foreign nationals,17
2018,Nevada,Science and engineering,Science,Public,Male,U.S. citizens and permanent residents (non-U.S. citizens holding green cards),614
2018,Nevada,Science and engineering,Science,Public,Male,Foreign nationals,151
